ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"67","Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Javelin Throw","Silver"
"359","Andrey Khakimovich Abduvaliyev","M",26,190,125,"Unified Team","EUN","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's Hammer Throw","Gold"
"411","Gezahgne Abera","M",22,166,58,"Ethiopia","ETH","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's Marathon","Gold"
"416","Nils Georg berg","M",19,181,78,"Sweden","SWE","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Long Jump","Bronze"
"416","Nils Georg berg","M",19,181,78,"Sweden","SWE","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Triple Jump","Silver"
"454","Edgar Allen ""Ed"" Ablowich","M",19,182,68,"United States","USA","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"519","Harold Maurice Abrahams","M",24,183,75,"Great Britain","GBR","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 100 metres","Gold"
"519","Harold Maurice Abrahams","M",24,183,75,"Great Britain","GBR","1924 Summer",1924,"Summer","Paris","Athletics","Athletics Men's 4 x 100 metres Relay","Silver"
"527","Erik Adolf Efraim Abrahamsson","M",22,172,61,"Sweden","SWE","1920 Summer",1920,"Summer","Antwerpen","Athletics","Athletics Men's Long Jump","Bronze"
"807","Benjamin Willard ""Ben"" Adams","M",22,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing High Jump","Silver"
"807","Benjamin Willard ""Ben"" Adams","M",22,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing Long Jump","Bronze"
"836","Platt Adams","M",27,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing High Jump","Gold"
"836","Platt Adams","M",27,188,78,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Standing Long Jump","Silver"
